block_id,card_id,block_reason,blocked_at,unblocked_at,blocked_by
37,562,expired,2025-03-11 04:19:03,,fraud_team
38,948,lost,2025-03-07 09:27:38,,system
39,985,lost,2025-12-02 09:23:32,,customer
40,608,customer_request,2025-10-17 12:17:51,,system
41,1194,lost,2025-07-18 16:13:08,,customer
42,957,stolen,2025-08-08 14:45:57,,customer
43,1129,expired,2025-11-02 00:43:59,2025-11-05 00:43:59,system
44,226,stolen,2025-03-21 11:14:03,,fraud_team
45,755,expired,2025-03-05 10:58:38,2025-03-28 10:58:38,customer
46,328,expired,2025-07-30 07:20:29,2025-08-09 07:20:29,fraud_team
47,593,stolen,2025-04-09 09:52:51,,system
48,324,lost,2025-05-30 09:50:43,,system
49,64,stolen,2025-04-13 18:05:25,2025-04-26 18:05:25,customer
50,1131,suspicious,2025-10-09 05:59:54,,system
51,62,stolen,2025-11-25 00:41:00,,system
52,121,customer_request,2025-09-12 22:06:17,2025-10-06 22:06:17,system
53,797,lost,2025-08-23 01:53:29,2025-09-18 01:53:29,fraud_team
54,702,suspicious,2025-03-29 22:21:21,2025-04-21 22:21:21,customer
55,967,lost,2025-10-08 00:35:27,,customer
56,593,suspicious,2025-11-24 15:38:16,,customer
57,845,lost,2025-08-18 02:32:48,,customer
58,586,expired,2025-12-25 20:21:57,2026-01-04 20:21:57,system
59,439,suspicious,2025-08-28 21:46:19,2025-09-08 21:46:19,customer
60,164,customer_request,2025-05-05 03:21:16,,system
61,670,stolen,2025-09-08 19:44:51,,fraud_team
62,937,lost,2025-10-30 07:59:49,,fraud_team
63,315,stolen,2025-05-25 11:36:51,2025-06-22 11:36:51,customer
64,585,stolen,2025-03-26 20:44:18,,system
65,446,expired,2025-12-23 03:43:24,2026-01-05 03:43:24,system
66,886,stolen,2025-07-31 03:41:18,2025-08-23 03:41:18,fraud_team
67,357,stolen,2025-12-01 08:55:58,2025-12-10 08:55:58,system
68,779,expired,2025-06-30 06:22:01,,system
69,1030,lost,2025-04-09 01:52:06,2025-04-29 01:52:06,customer
70,129,stolen,2025-03-09 19:22:14,,customer
71,530,customer_request,2025-10-07 11:40:27,,customer
72,536,suspicious,2025-11-26 09:04:45,,customer
73,123,stolen,2025-04-15 03:26:19,,system
74,829,suspicious,2025-11-10 06:27:41,,fraud_team
75,592,expired,2025-07-22 19:40:46,2025-08-04 19:40:46,customer
76,165,expired,2025-04-24 22:24:47,2025-05-23 22:24:47,customer
77,18,stolen,2025-12-11 15:16:00,2025-12-22 15:16:00,fraud_team
78,235,customer_request,2025-05-01 12:30:38,,system
79,567,stolen,2025-06-18 23:28:35,2025-07-06 23:28:35,fraud_team
80,216,lost,2025-08-03 12:31:33,,customer
81,311,suspicious,2025-09-26 12:54:42,,system
82,178,lost,2025-09-06 00:49:33,2025-09-27 00:49:33,customer
83,481,stolen,2025-10-03 06:10:37,2025-10-12 06:10:37,customer
84,138,stolen,2025-07-16 09:05:58,,system
85,451,stolen,2025-06-12 11:01:40,,fraud_team
86,966,suspicious,2025-07-27 09:46:56,2025-08-12 09:46:56,customer
87,819,stolen,2025-10-21 20:37:52,2025-11-19 20:37:52,customer
88,1109,suspicious,2025-06-28 13:34:24,,system
89,921,suspicious,2025-11-10 08:36:50,,fraud_team
90,374,customer_request,2025-12-10 09:21:28,2026-01-08 09:21:28,fraud_team
91,69,lost,2025-05-08 19:50:15,,system
92,410,stolen,2025-08-23 18:59:10,2025-09-06 18:59:10,system
93,776,suspicious,2025-12-09 08:58:07,2026-01-04 08:58:07,customer
94,610,stolen,2025-11-19 18:54:12,,customer
95,645,lost,2025-07-19 17:24:48,,system
96,494,stolen,2025-03-15 22:26:48,,fraud_team
97,425,suspicious,2025-05-19 01:29:22,,fraud_team
98,190,stolen,2025-10-02 23:13:23,2025-10-30 23:13:23,fraud_team
99,921,suspicious,2025-11-03 08:06:57,,customer
100,989,expired,2025-11-24 05:20:23,,customer
101,526,lost,2025-11-30 08:35:59,,customer
102,627,customer_request,2025-09-09 07:36:15,,customer
103,544,customer_request,2025-11-04 17:02:52,2025-12-02 17:02:52,customer
104,623,stolen,2025-08-27 04:53:32,2025-09-25 04:53:32,customer
105,386,lost,2025-10-25 17:11:08,,fraud_team
106,1044,stolen,2025-05-03 06:24:02,,system
107,798,customer_request,2025-07-22 01:35:48,,fraud_team
108,1188,stolen,2025-09-13 02:55:08,,customer
109,1039,expired,2025-09-28 04:29:19,2025-10-12 04:29:19,customer
110,583,expired,2025-04-25 00:55:20,,system
111,897,customer_request,2025-08-09 11:03:24,2025-08-17 11:03:24,customer
112,50,suspicious,2025-11-14 08:20:06,,fraud_team
113,432,expired,2025-04-21 06:02:15,,customer
114,917,stolen,2025-10-18 04:10:08,2025-10-22 04:10:08,fraud_team
115,1028,stolen,2025-06-17 06:46:40,,customer
116,521,stolen,2025-10-10 12:33:45,,customer
117,377,lost,2025-10-30 01:06:33,2025-11-18 01:06:33,customer
118,945,lost,2025-03-06 17:22:18,2025-03-25 17:22:18,customer
119,1116,customer_request,2025-10-13 06:30:07,,customer
120,355,lost,2025-07-13 05:20:02,2025-07-19 05:20:02,system
121,370,suspicious,2025-06-16 21:04:16,,customer
122,592,customer_request,2025-04-13 10:15:29,,fraud_team
123,814,stolen,2025-09-16 17:44:55,2025-10-08 17:44:55,fraud_team
124,492,customer_request,2025-03-28 18:09:02,2025-04-07 18:09:02,customer
125,58,expired,2025-09-23 08:02:45,2025-09-28 08:02:45,fraud_team
126,122,customer_request,2025-11-02 13:37:16,,system
127,343,stolen,2025-12-21 20:14:10,2025-12-23 20:14:10,fraud_team
128,233,suspicious,2025-07-27 14:12:35,,customer
129,69,lost,2025-06-13 13:49:50,,system
130,505,lost,2025-04-06 02:55:42,,system
131,745,suspicious,2025-07-12 10:33:42,,customer
132,939,suspicious,2025-10-15 22:59:25,2025-11-11 22:59:25,customer
133,1056,stolen,2025-12-08 15:37:26,2025-12-17 15:37:26,system
134,374,stolen,2025-09-12 21:39:26,2025-09-29 21:39:26,fraud_team
135,295,expired,2025-07-30 18:24:44,2025-08-06 18:24:44,customer
136,859,lost,2025-06-10 21:33:11,,customer
137,637,suspicious,2025-07-07 23:20:19,2025-07-19 23:20:19,customer
138,737,lost,2025-05-03 04:13:38,,system
139,964,customer_request,2025-09-27 20:11:16,2025-10-23 20:11:16,system
140,11,customer_request,2025-10-12 01:35:16,,customer
141,641,expired,2025-08-10 16:26:28,,customer
142,661,suspicious,2025-09-19 17:43:47,,fraud_team
143,972,suspicious,2025-06-04 07:25:53,2025-07-01 07:25:53,customer
144,1092,expired,2025-04-18 12:56:06,,customer
145,994,expired,2025-05-16 10:37:02,2025-06-15 10:37:02,customer
146,942,suspicious,2025-10-17 08:44:37,2025-11-01 08:44:37,fraud_team
147,1059,customer_request,2025-12-12 00:01:39,2025-12-29 00:01:39,customer
148,681,stolen,2025-12-14 17:59:24,2026-01-04 17:59:24,customer
149,170,lost,2025-10-06 06:44:29,2025-10-08 06:44:29,fraud_team
150,1003,customer_request,2025-09-25 00:03:33,2025-10-21 00:03:33,fraud_team
151,701,lost,2025-03-26 05:41:03,,system
152,492,suspicious,2025-05-08 19:38:22,2025-05-27 19:38:22,customer
153,287,suspicious,2025-10-23 07:23:51,2025-11-14 07:23:51,customer
154,359,lost,2025-04-29 15:13:16,2025-05-08 15:13:16,customer
155,66,lost,2025-06-13 09:06:11,2025-06-28 09:06:11,fraud_team
156,406,customer_request,2025-06-16 01:24:29,2025-07-16 01:24:29,customer
157,358,stolen,2025-10-17 17:30:46,2025-11-16 17:30:46,customer
158,429,suspicious,2025-12-02 09:01:37,,customer
159,116,expired,2025-10-23 10:06:33,,customer
160,353,lost,2025-04-07 22:30:25,2025-04-13 22:30:25,customer
161,52,expired,2025-07-26 01:22:58,,fraud_team
162,857,lost,2025-07-11 22:57:46,2025-07-30 22:57:46,system
163,778,customer_request,2025-03-26 17:04:41,,customer
164,243,suspicious,2025-09-15 13:18:54,,fraud_team
165,1009,lost,2025-08-19 11:24:54,,fraud_team
166,890,stolen,2025-04-09 07:03:05,2025-05-02 07:03:05,customer
167,191,lost,2025-07-04 08:09:55,2025-07-13 08:09:55,customer
168,347,suspicious,2025-07-31 08:52:53,,customer
169,951,stolen,2025-09-04 13:23:39,,system
170,590,lost,2025-09-23 09:35:19,2025-10-23 09:35:19,fraud_team
171,160,lost,2025-12-02 06:36:20,,system
172,1193,expired,2025-03-06 21:28:35,,system
173,141,lost,2025-05-14 08:31:37,2025-05-22 08:31:37,customer
174,682,stolen,2025-04-01 10:42:31,2025-04-28 10:42:31,customer
175,57,suspicious,2025-11-17 10:24:58,2025-12-03 10:24:58,fraud_team
176,843,expired,2025-03-07 03:02:42,2025-03-20 03:02:42,customer
177,742,suspicious,2025-08-05 03:16:35,,customer
178,667,stolen,2025-08-27 22:39:48,2025-09-10 22:39:48,customer
179,952,stolen,2025-10-07 12:46:13,2025-11-03 12:46:13,customer
180,624,stolen,2025-05-22 04:32:27,,customer
181,996,customer_request,2025-09-06 05:58:14,2025-09-27 05:58:14,system
182,471,stolen,2025-04-04 17:28:44,,system
183,672,lost,2025-10-03 06:05:43,2025-10-25 06:05:43,fraud_team
184,737,customer_request,2025-09-10 19:42:05,,customer
185,1026,suspicious,2025-04-02 00:07:06,,customer
186,801,customer_request,2025-06-10 22:28:30,,customer
187,931,expired,2025-09-23 09:27:26,2025-10-07 09:27:26,customer
188,925,lost,2025-11-06 04:01:15,,fraud_team
189,380,stolen,2025-12-24 04:18:51,,customer
190,1001,customer_request,2025-05-02 18:49:30,2025-05-30 18:49:30,fraud_team
191,457,lost,2025-10-10 17:05:50,2025-11-07 17:05:50,customer
192,691,lost,2025-05-23 07:52:25,2025-06-17 07:52:25,system
193,661,customer_request,2025-05-03 09:41:05,,customer
194,207,lost,2025-12-11 20:33:22,,customer
195,1101,suspicious,2025-08-29 00:56:22,2025-09-08 00:56:22,customer
196,9,lost,2025-07-26 04:34:26,,fraud_team
197,891,stolen,2025-11-10 11:08:03,2025-11-16 11:08:03,customer
198,110,customer_request,2025-12-07 00:48:35,,system
199,440,customer_request,2025-07-31 16:48:21,,system
200,804,suspicious,2025-12-18 23:08:55,2026-01-13 23:08:55,customer
201,816,expired,2025-05-21 23:29:49,2025-06-09 23:29:49,customer
202,667,customer_request,2025-04-12 16:56:23,2025-04-20 16:56:23,customer
203,623,customer_request,2025-11-13 10:36:59,2025-12-06 10:36:59,system
204,803,suspicious,2025-04-28 16:25:11,,customer
205,915,lost,2025-11-15 14:37:50,,system
206,238,stolen,2025-12-02 05:09:59,2025-12-30 05:09:59,customer
207,581,lost,2025-12-09 22:02:43,2025-12-18 22:02:43,customer
208,946,stolen,2025-05-28 05:45:39,,customer
209,65,expired,2025-12-06 11:39:28,,fraud_team
210,432,stolen,2025-09-06 08:21:51,,customer
211,977,expired,2025-06-12 05:33:21,2025-06-17 05:33:21,customer
212,117,suspicious,2025-06-21 15:44:17,2025-07-09 15:44:17,fraud_team
213,1064,expired,2025-10-15 16:22:09,,customer
214,828,expired,2025-08-31 06:27:06,2025-09-21 06:27:06,customer
215,40,stolen,2025-07-20 19:29:35,2025-08-04 19:29:35,system
216,543,expired,2025-04-10 03:08:36,,customer
217,581,stolen,2025-10-23 13:09:02,,system
218,658,expired,2025-07-07 02:21:23,,system
219,486,suspicious,2025-09-19 02:24:03,,customer
220,765,lost,2025-03-21 19:43:59,2025-03-30 19:43:59,system
221,1048,customer_request,2025-07-08 06:46:23,,customer
222,680,expired,2025-06-25 02:19:48,,fraud_team
223,1175,customer_request,2025-11-08 13:23:38,,customer
224,871,customer_request,2025-10-27 09:27:11,2025-11-06 09:27:11,system
225,303,expired,2025-03-13 22:36:30,2025-04-12 22:36:30,system
226,1058,stolen,2025-08-17 19:11:21,2025-09-16 19:11:21,system
227,846,expired,2025-05-10 18:35:23,,customer
228,361,stolen,2025-09-22 06:59:39,,fraud_team
229,644,suspicious,2025-12-22 14:49:38,2026-01-13 14:49:38,fraud_team
230,1133,expired,2025-06-11 07:47:39,,customer
231,417,suspicious,2025-07-02 05:47:32,2025-07-25 05:47:32,customer
232,486,stolen,2025-04-12 06:37:36,2025-04-24 06:37:36,customer
233,486,stolen,2025-07-06 12:18:33,2025-07-30 12:18:33,fraud_team
234,969,expired,2025-05-12 06:48:48,2025-05-25 06:48:48,customer
235,490,suspicious,2025-11-20 15:44:41,,fraud_team
236,639,expired,2025-09-06 00:21:31,2025-09-20 00:21:31,system
237,1057,lost,2025-08-24 04:58:58,2025-09-22 04:58:58,customer
238,87,customer_request,2025-09-22 19:13:49,2025-10-22 19:13:49,fraud_team
239,236,suspicious,2025-07-26 13:35:16,,fraud_team
240,1087,customer_request,2025-10-03 03:03:38,,system
241,782,stolen,2025-07-14 16:19:00,,system
242,526,suspicious,2025-12-17 14:31:15,2026-01-01 14:31:15,customer
243,738,expired,2025-10-05 01:39:34,,system
244,314,lost,2025-06-30 16:10:58,,customer
245,986,customer_request,2025-09-22 06:05:00,,customer
246,928,expired,2025-05-02 06:18:45,2025-05-05 06:18:45,fraud_team
247,1081,expired,2025-08-08 00:42:57,,customer
248,197,stolen,2025-12-04 17:19:42,2025-12-10 17:19:42,system
249,684,customer_request,2025-12-02 00:34:56,2025-12-20 00:34:56,fraud_team
250,259,lost,2025-09-12 03:19:38,2025-10-06 03:19:38,fraud_team
