trx_id,account_id,trx_datetime,trx_type,amount,currency,description,counterparty,posting_date,branch_id,updated_at
29,1399,2025-12-29 20:44:32,transfer,111916.96,KZT,Чувство каюта заявление.,НПО «Суворова-Моисеев»,2025-12-29,3,2025-12-29 20:44:32
30,1340,2025-09-08 06:15:32,credit,49061.34,KZT,Четыре командир инвалид.,ОАО «Юдин Матвеев»,2025-09-08,9,2025-09-08 06:15:32
31,1329,2025-07-07 08:05:19,debit,102718.44,KZT,Торопливый командир лететь факультет.,ОАО «Голубева»,2025-07-07,7,2025-07-07 08:05:19
32,578,2025-11-23 14:59:03,debit,205148.79,KZT,Командир умолять развитый ответить.,Амурская нефтебаза,2025-11-23,9,2025-11-23 14:59:03
33,21,2025-09-28 22:13:36,credit,210697.99,KZT,Дурацкий присесть поговорить сынок.,НПО «Гордеев-Дроздов»,2025-09-28,9,2025-09-28 22:13:36
34,509,2025-09-10 14:22:38,credit,381499.2,KZT,Поставить фонарик падать подземный.,Соколов Лтд,2025-09-10,7,2025-09-10 14:22:38
35,1432,2025-10-26 05:49:44,credit,449548.73,KZT,Намерение правление еврейский левый гулять.,"ИП «Котова, Ковалев и Казаков»",2025-10-26,8,2025-10-26 05:49:44
36,154,2025-08-17 00:40:49,credit,162856.51,KZT,Карман казнь мелькнуть боец.,ООО «Копылова-Бирюкова»,2025-08-17,8,2025-08-17 00:40:49
37,537,2025-11-17 22:16:06,credit,327342.07,KZT,Бегать шлем спалить выражение.,Антонов Инкорпорэйтед,2025-11-17,8,2025-11-17 22:16:06
38,1049,2025-09-23 17:01:48,credit,103367.57,KZT,Совещание мальчишка кольцо.,НПО «Киселев-Ларионов»,2025-09-23,5,2025-09-23 17:01:48
39,266,2025-10-07 15:57:10,credit,473978.63,KZT,Чувство слишком.,ООО «Субботин-Артемьева»,2025-10-07,6,2025-10-07 15:57:10
40,1257,2025-11-01 09:28:58,credit,104746.79,KZT,Остановить металл покидать одиннадцать желание.,ПК Балтика (Carlsbergfondet),2025-11-01,5,2025-11-01 09:28:58
41,343,2025-12-19 04:22:47,transfer,149539.56,KZT,Уточнить призыв трясти.,НПО «Борисов Симонов»,2025-12-19,7,2025-12-19 04:22:47
42,1341,2025-10-28 11:41:59,transfer,89391.17,KZT,Редактор да.,"ОАО «Марков, Панова и Бобылева»",2025-10-28,7,2025-10-28 11:41:59
43,824,2025-07-30 13:14:42,credit,156167.19,KZT,Некоторый бегать понятный тревога сверкать.,"ООО «Калашникова, Денисов и Гущина»",2025-07-30,3,2025-07-30 13:14:42
44,1213,2025-11-07 13:14:57,credit,389637.25,KZT,Процесс заплакать нож.,ООО «Наумов-Субботин»,2025-11-07,3,2025-11-07 13:14:57
45,957,2025-10-15 17:45:57,credit,395959.0,KZT,Бетонный применяться за командование прежде.,РАО «Горбачева Николаева»,2025-10-15,3,2025-10-15 17:45:57
46,551,2025-12-11 17:34:18,credit,95826.58,KZT,Помолчать очутиться ягода.,Сэтл групп,2025-12-11,8,2025-12-11 17:34:18
47,392,2025-11-14 18:33:45,credit,337421.4,KZT,Кольцо применяться войти.,"АО «Игнатов, Трофимов и Карпова»",2025-11-14,9,2025-11-14 18:33:45
48,912,2025-07-20 12:11:10,credit,217807.21,KZT,Сверкать важный термин вряд следовательно.,РАО «Рогова-Орлова»,2025-07-20,5,2025-07-20 12:11:10
49,200,2025-07-15 14:54:39,transfer,272778.52,KZT,Порода манера спичка райком спасть.,ОАО «Иванов-Орлов»,2025-07-15,3,2025-07-15 14:54:39
50,1026,2025-07-28 06:43:58,transfer,187660.83,KZT,Художественный горький намерение.,ЗАО «Антонов Самойлов»,2025-07-28,2,2025-07-28 06:43:58
51,119,2025-08-19 06:54:53,credit,454710.18,KZT,Вздрогнуть теория роскошный экзамен.,"ЗАО «Кулагина, Лукина и Андреева»",2025-08-19,6,2025-08-19 06:54:53
52,648,2025-08-03 09:10:57,debit,93951.28,KZT,Вряд даль командующий медицина.,Титан,2025-08-03,10,2025-08-03 09:10:57
53,87,2025-11-25 19:40:27,credit,481852.54,KZT,Прощение табак трясти.,РАО «Богданова-Щукин»,2025-11-25,1,2025-11-25 19:40:27
54,475,2025-11-10 22:40:42,debit,436424.82,KZT,Монета жить чем.,"ИП «Фокина, Егорова и Гаврилов»",2025-11-10,2,2025-11-10 22:40:42
55,1253,2025-09-06 11:11:46,credit,435992.57,KZT,Ведь мелькнуть разнообразный.,Шестаков Инкорпорэйтед,2025-09-06,3,2025-09-06 11:11:46
56,131,2025-11-09 14:08:45,debit,216407.98,KZT,Порядок монета.,Шашков Инкорпорэйтед,2025-11-09,9,2025-11-09 14:08:45
57,1278,2025-10-27 08:01:53,transfer,338314.65,KZT,Миллиард похороны юный пропасть костер.,НПО «Гаврилов Степанов»,2025-10-27,3,2025-10-27 08:01:53
58,1364,2025-10-17 06:13:54,debit,178658.08,KZT,Намерение вздрагивать сохранять пол.,НПО «Веселов»,2025-10-17,6,2025-10-17 06:13:54
59,90,2025-07-03 13:30:56,credit,282833.1,KZT,Покинуть тяжелый встать дьявол.,ООО «Брагина Корнилов»,2025-07-03,8,2025-07-03 13:30:56
60,898,2025-07-25 20:53:18,credit,499608.37,KZT,Угодный задержать вывести.,Системный оператор Единой энергетической системы,2025-07-25,3,2025-07-25 20:53:18
61,1413,2025-10-23 00:24:15,credit,176100.02,KZT,Очутиться приятель господь.,ИП «Артемьева Большакова»,2025-10-23,6,2025-10-23 00:24:15
62,30,2025-10-15 00:29:34,credit,24173.54,KZT,Левый столетие ночь.,РАО «Савельева»,2025-10-15,2,2025-10-15 00:29:34
63,839,2025-09-07 01:48:54,debit,244559.88,KZT,Реклама дьявол.,"НПО «Ефимов, Назарова и Меркушева»",2025-09-07,6,2025-09-07 01:48:54
64,452,2025-10-06 15:12:58,credit,322926.97,KZT,Господь аж ручей.,ИП «Назарова»,2025-10-06,7,2025-10-06 15:12:58
65,908,2025-09-13 11:13:58,credit,17761.1,KZT,Рай отъезд.,Якушева Групп,2025-09-13,2,2025-09-13 11:13:58
66,831,2025-09-27 11:50:58,credit,95059.05,KZT,Светило невозможно собеседник.,ООО «Смирнов»,2025-09-27,9,2025-09-27 11:50:58
67,1374,2025-09-07 00:10:22,transfer,443492.36,KZT,Человечек головка фонарик назначить цепочка.,Ростелеком,2025-09-07,7,2025-09-07 00:10:22
68,1178,2025-11-27 04:19:43,debit,246036.31,KZT,Пробовать реклама.,ИП «Дьячков»,2025-11-27,7,2025-11-27 04:19:43
69,644,2025-08-05 17:34:30,credit,71606.46,KZT,Вздрагивать развитый блин подземный выбирать.,ФортеИнвест,2025-08-05,8,2025-08-05 17:34:30
70,1078,2025-09-05 08:37:44,credit,103523.63,KZT,Плясать вперед человечек плод.,НПО «Гуляев»,2025-09-05,1,2025-09-05 08:37:44
71,1364,2025-12-22 01:32:18,debit,321966.41,KZT,Природа полоска ручей что руководитель.,РАО «Самойлов Игнатов»,2025-12-22,6,2025-12-22 01:32:18
72,30,2025-09-30 02:44:36,credit,397583.04,KZT,Костер термин.,АО «Зыкова-Родионов»,2025-09-30,7,2025-09-30 02:44:36
73,927,2025-09-23 16:51:42,transfer,259747.46,KZT,Лететь художественный витрина наткнуться вытаскивать.,ОАО «Кузьмин»,2025-09-23,3,2025-09-23 16:51:42
74,1215,2025-08-25 13:53:20,credit,228990.85,KZT,Команда июнь.,Павлова и партнеры,2025-08-25,3,2025-08-25 13:53:20
75,395,2025-07-18 12:09:21,transfer,28818.46,KZT,Бок подземный.,ИП «Антонова»,2025-07-18,1,2025-07-18 12:09:21
76,1388,2025-08-11 00:54:17,debit,128182.17,KZT,Пространство господь.,ИП «Орлова»,2025-08-11,6,2025-08-11 00:54:17
77,623,2025-10-21 01:00:42,credit,71061.53,KZT,Уничтожение гулять выбирать вчера.,ИП «Сысоев»,2025-10-21,10,2025-10-21 01:00:42
78,644,2025-12-11 04:47:11,credit,77779.98,KZT,Умолять секунда правление соответствие аллея.,Тихонова Инкорпорэйтед,2025-12-11,7,2025-12-11 04:47:11
79,962,2025-12-16 15:32:49,transfer,385720.81,KZT,Применяться выразить салон.,ЗАО «Субботина Громова»,2025-12-16,10,2025-12-16 15:32:49
80,982,2025-07-18 00:21:35,credit,20361.51,KZT,Плод присесть поздравлять выдержать левый.,Ферреро Руссия (Ferrero),2025-07-18,2,2025-07-18 00:21:35
81,205,2025-12-17 07:08:33,credit,212181.24,KZT,Эпоха падаль школьный.,РАО «Меркушева»,2025-12-17,9,2025-12-17 07:08:33
82,1373,2025-10-18 15:40:33,debit,68872.88,KZT,Выражаться через степь.,ОАО «Лапин»,2025-10-18,1,2025-10-18 15:40:33
83,676,2025-10-03 01:48:03,credit,280936.02,KZT,Единый бочок.,ТД Риф,2025-10-03,10,2025-10-03 01:48:03
84,12,2025-11-28 02:05:40,credit,317830.57,KZT,Перебивать трубка счастье.,Капустин Инкорпорэйтед,2025-11-28,7,2025-11-28 02:05:40
85,99,2025-12-11 15:55:18,credit,356035.89,KZT,Тюрьма полностью.,ИП «Тарасов Селезнева»,2025-12-11,5,2025-12-11 15:55:18
86,887,2025-07-16 23:59:02,credit,85190.93,KZT,Иной трубка багровый.,ЗАО «Рыбаков Морозова»,2025-07-16,2,2025-07-16 23:59:02
87,860,2025-10-03 15:04:48,transfer,17532.75,KZT,Поймать избегать волк.,Хоум Кредит энд Финанс Банк (PPF),2025-10-03,5,2025-10-03 15:04:48
88,828,2025-10-14 09:23:17,credit,427182.43,KZT,Интернет ученый крыса ребятишки.,АО «Рогова-Мартынова»,2025-10-14,6,2025-10-14 09:23:17
89,255,2025-11-12 03:17:46,debit,251368.66,KZT,Бетонный палка куча горький изба.,"ООО «Панфилов, Харитонова и Григорьев»",2025-11-12,1,2025-11-12 03:17:46
90,62,2025-08-22 22:43:44,debit,306923.53,KZT,Отражение торопливый командующий.,Маркова Инк,2025-08-22,4,2025-08-22 22:43:44
91,344,2025-07-29 10:40:19,credit,304721.98,KZT,Ручей порт указанный применяться рабочий.,Крок инкорпорейтед,2025-07-29,8,2025-07-29 10:40:19
92,106,2025-09-21 05:28:58,credit,28940.17,KZT,Подземный степь изба легко.,Максимов Инкорпорэйтед,2025-09-21,6,2025-09-21 05:28:58
93,715,2025-07-20 13:03:33,debit,188984.66,KZT,Космос близко запретить выгнать.,ИП «Субботин-Романова»,2025-07-20,10,2025-07-20 13:03:33
94,687,2025-07-31 14:53:53,debit,190553.4,KZT,Славный недостаток что.,"ИП «Гурьева, Савельева и Лебедев»",2025-07-31,8,2025-07-31 14:53:53
95,1457,2025-09-15 20:46:21,debit,356765.53,KZT,Правильный дружно.,"ЗАО «Щербакова, Брагина и Морозова»",2025-09-15,7,2025-09-15 20:46:21
96,924,2025-07-03 20:11:32,transfer,461929.73,KZT,Видимо спичка грудь.,"ОАО «Аксенов, Кондратьев и Сафонов»",2025-07-03,3,2025-07-03 20:11:32
97,836,2025-12-10 18:52:16,credit,375395.19,KZT,Горький наступать госпожа.,"АО «Быков, Устинов и Симонов»",2025-12-10,9,2025-12-10 18:52:16
98,12,2025-11-23 04:04:44,debit,273378.88,KZT,Конференция монета.,"ИП «Никитин, Анисимов и Попов»",2025-11-23,7,2025-11-23 04:04:44
99,829,2025-10-25 15:11:28,debit,464253.89,KZT,Близко войти отметить парень очередной.,ИП «Крюкова Гришина»,2025-10-25,8,2025-10-25 15:11:28
100,1071,2025-12-04 03:14:21,credit,362536.02,KZT,Еврейский столетие ребятишки.,РАО «Костин-Горбунов»,2025-12-04,8,2025-12-04 03:14:21
101,1332,2025-08-04 12:43:08,transfer,423169.08,KZT,Тюрьма вскакивать покидать зато непривычный.,Тетра Пак (Tetra Pak),2025-08-04,9,2025-08-04 12:43:08
102,1308,2025-07-12 11:24:06,credit,361673.17,KZT,Указанный угроза шлем через.,Савин Лтд,2025-07-12,1,2025-07-12 11:24:06
103,785,2025-11-04 15:37:52,credit,492113.55,KZT,Радость уронить.,"АО «Лаврентьев, Субботин и Виноградова»",2025-11-04,1,2025-11-04 15:37:52
104,1282,2025-10-17 04:38:56,credit,136788.25,KZT,Серьезный число.,АХ Степь,2025-10-17,3,2025-10-17 04:38:56
105,492,2025-11-01 13:58:11,debit,206045.36,KZT,Низкий прелесть.,"ИП «Веселов, Николаева и Федосеева»",2025-11-01,4,2025-11-01 13:58:11
106,509,2025-11-17 10:48:10,transfer,289556.7,KZT,Счастье цель налоговый спорт мягкий.,АО «Полякова-Гурьев»,2025-11-17,3,2025-11-17 10:48:10
107,37,2025-09-19 09:07:22,transfer,186023.43,KZT,Уронить пятеро дальний.,Суханова Лтд,2025-09-19,10,2025-09-19 09:07:22
108,340,2025-07-13 10:54:01,credit,93993.92,KZT,Упорно трубка научить пропасть.,ИП «Горбунова Ситникова»,2025-07-13,9,2025-07-13 10:54:01
109,1221,2025-10-01 01:20:28,credit,342098.61,KZT,Прощение темнеть.,Смирнова Лимитед,2025-10-01,8,2025-10-01 01:20:28
110,1283,2025-07-16 02:29:19,credit,143111.02,KZT,Слишком грудь бак.,ООО «Фадеева Суханова»,2025-07-16,3,2025-07-16 02:29:19
111,1250,2025-12-08 06:05:37,transfer,390913.3,KZT,Бровь фонарик умолять казнь.,ЗАО «Щукин»,2025-12-08,6,2025-12-08 06:05:37
112,769,2025-10-31 03:14:14,debit,93484.24,KZT,Одиннадцать подробность вскакивать еврейский.,ЗАО «Кондратьев-Фомичева»,2025-10-31,10,2025-10-31 03:14:14
113,862,2025-10-24 21:27:28,transfer,244870.22,KZT,Уничтожение ныне угол художественный.,ОАО «Афанасьева Овчинников»,2025-10-24,8,2025-10-24 21:27:28
114,270,2025-11-24 05:43:48,transfer,301041.85,KZT,Жидкий издали.,"ЗАО «Никонова, Молчанова и Трофимова»",2025-11-24,10,2025-11-24 05:43:48
115,150,2025-12-13 11:06:47,credit,52891.76,KZT,Хотеть мелькнуть потом порт конструкция.,Транслом,2025-12-13,9,2025-12-13 11:06:47
116,654,2025-11-20 05:33:29,debit,141681.29,KZT,Привлекать развернуться плясать художественный.,Проктер Энд Гэмбл. Дистрибьюторская компания (Procter & Gamble),2025-11-20,5,2025-11-20 05:33:29
117,1417,2025-08-26 22:54:01,transfer,268387.56,KZT,Сбросить медицина.,Сысоев Лимитед,2025-08-26,9,2025-08-26 22:54:01
118,599,2025-12-28 19:44:11,transfer,94991.57,KZT,Смелый четыре социалистический райком.,Медведев Групп,2025-12-28,8,2025-12-28 19:44:11
119,118,2025-07-12 07:13:25,transfer,447692.71,KZT,Зарплата поздравлять обида возможно.,РАО «Голубев»,2025-07-12,10,2025-07-12 07:13:25
120,929,2025-07-29 01:42:23,debit,19265.02,KZT,Манера отъезд увеличиваться.,ГК Автодилерство,2025-07-29,1,2025-07-29 01:42:23
121,740,2025-11-15 16:18:43,credit,170341.16,KZT,Изредка эпоха плавно сравнение.,"ООО «Филиппов, Ильина и Зимина»",2025-11-15,1,2025-11-15 16:18:43
122,1042,2025-11-29 12:14:12,debit,303449.49,KZT,Механический мгновение.,Крюкова Инк,2025-11-29,5,2025-11-29 12:14:12
123,898,2025-10-16 16:34:05,transfer,452881.13,KZT,Торговля избегать совещание.,Волкова и партнеры,2025-10-16,9,2025-10-16 16:34:05
124,1113,2025-12-24 08:21:06,debit,259844.45,KZT,Настать невыносимый сынок.,Шарова Групп,2025-12-24,5,2025-12-24 08:21:06
125,819,2025-07-31 10:29:04,credit,316498.72,KZT,Развернуться скрытый.,Ачимгаз,2025-07-31,9,2025-07-31 10:29:04
126,1097,2025-09-26 13:19:30,transfer,129929.37,KZT,Угол костер затянуться мелочь рот.,АО «Сысоев-Бирюкова»,2025-09-26,4,2025-09-26 13:19:30
127,190,2025-08-20 11:39:43,transfer,156875.53,KZT,Намерение спичка падать покидать.,"РАО «Кузнецова, Харитонова и Крылов»",2025-08-20,2,2025-08-20 11:39:43
128,264,2025-09-11 20:18:16,debit,306149.37,KZT,Дыхание лиловый солнце запеть.,ИП «Галкина»,2025-09-11,1,2025-09-11 20:18:16
129,669,2025-07-06 08:15:13,credit,98770.17,KZT,Монета забирать правление.,ОАО «Белозеров»,2025-07-06,5,2025-07-06 08:15:13
130,1025,2025-11-10 22:54:28,credit,177367.63,KZT,Обида число цепочка призыв.,ООО «Сазонов»,2025-11-10,10,2025-11-10 22:54:28
131,454,2025-09-11 01:41:36,debit,351610.3,KZT,Сверкающий грустный встать.,Лыткин Инкорпорэйтед,2025-09-11,8,2025-09-11 01:41:36
132,464,2025-08-04 06:34:18,transfer,494734.2,KZT,Обида уронить отдел тесно подземный.,ООО «Кошелева-Костин»,2025-08-04,4,2025-08-04 06:34:18
133,1085,2025-12-02 08:34:29,credit,293062.18,KZT,Каюта запустить крутой.,Третьякова Групп,2025-12-02,8,2025-12-02 08:34:29
134,474,2025-08-31 12:37:42,credit,493456.15,KZT,Товар горький сбросить растеряться граница.,Таркетт Рус (Tarkett),2025-08-31,4,2025-08-31 12:37:42
135,1095,2025-11-14 11:29:58,credit,218099.33,KZT,Шлем задрать жить неправда.,ИП «Рожков-Емельянова»,2025-11-14,3,2025-11-14 11:29:58
136,1221,2025-12-21 18:54:28,transfer,380483.11,KZT,Выдержать лиловый слать четко.,Азбука вкуса,2025-12-21,7,2025-12-21 18:54:28
137,1300,2025-08-24 03:25:44,credit,439003.35,KZT,Некоторый термин горький деньги.,Копылова Лимитед,2025-08-24,4,2025-08-24 03:25:44
138,1016,2025-08-08 07:42:05,debit,332308.1,KZT,Ученый мелочь другой.,"ООО «Калашникова, Попова и Русаков»",2025-08-08,2,2025-08-08 07:42:05
139,560,2025-08-24 06:18:07,credit,260200.16,KZT,Научить танцевать освобождение.,Группа Мэйджор,2025-08-24,3,2025-08-24 06:18:07
140,530,2025-10-16 13:04:27,credit,195281.98,KZT,Юный горький порт рот.,ИП «Симонов Тетерина»,2025-10-16,9,2025-10-16 13:04:27
141,1209,2025-10-27 06:19:42,debit,451882.35,KZT,Пастух палец.,НПО «Колесникова»,2025-10-27,9,2025-10-27 06:19:42
142,895,2025-11-01 07:26:49,debit,434292.66,KZT,Наткнуться эффект табак выражение.,НПО «Поляков»,2025-11-01,2,2025-11-01 07:26:49
143,111,2025-09-13 21:59:32,debit,487251.3,KZT,Слишком невозможно тысяча.,РКЦ Прогресс,2025-09-13,8,2025-09-13 21:59:32
144,1437,2025-09-15 06:59:49,transfer,143769.52,KZT,Ведь лететь.,РАО «Бирюков-Мамонтова»,2025-09-15,1,2025-09-15 06:59:49
145,1027,2025-11-17 03:34:48,credit,288724.12,KZT,Помолчать металл салон.,Автозаправочные комплексы Atan,2025-11-17,8,2025-11-17 03:34:48
146,701,2025-10-06 02:48:32,transfer,258574.45,KZT,Команда крыса.,Боброва Инк,2025-10-06,8,2025-10-06 02:48:32
147,1088,2025-10-10 12:12:02,credit,407716.6,KZT,Некоторый жить дальний изредка.,ОАО «Вишнякова Шашков»,2025-10-10,7,2025-10-10 12:12:02
148,1030,2025-10-14 11:18:17,debit,292083.58,KZT,Мгновение художественный.,РАО «Вишняков Антонова»,2025-10-14,8,2025-10-14 11:18:17
149,554,2025-10-26 01:33:14,credit,152932.29,KZT,Невозможно ручей возможно.,"ИП «Евсеева, Меркушев и Максимов»",2025-10-26,9,2025-10-26 01:33:14
150,895,2025-12-05 14:17:14,debit,189416.78,KZT,Головной материя кпсс пропасть.,Веселов Лимитед,2025-12-05,6,2025-12-05 14:17:14
151,746,2025-11-14 03:08:20,credit,285378.01,KZT,Витрина результат.,НПО «Тихонова»,2025-11-14,1,2025-11-14 03:08:20
152,205,2025-10-18 17:41:24,credit,432137.47,KZT,Карман зеленый.,РАО «Шестакова-Кулагина»,2025-10-18,8,2025-10-18 17:41:24
153,367,2025-07-25 19:22:52,credit,451467.4,KZT,Школьный соответствие дружно.,Корпорация Гринн,2025-07-25,9,2025-07-25 19:22:52
154,452,2025-11-03 08:30:44,credit,132948.52,KZT,Прощение вперед порог.,ФМСМ (PMI),2025-11-03,2,2025-11-03 08:30:44
155,345,2025-08-08 09:18:33,debit,159226.03,KZT,Кпсс результат мотоцикл естественный.,ИП «Абрамов»,2025-08-08,2,2025-08-08 09:18:33
156,426,2025-08-17 13:51:04,debit,316983.33,KZT,Армейский анализ похороны.,Газэнергосервис,2025-08-17,8,2025-08-17 13:51:04
157,299,2025-11-06 14:05:19,credit,11786.15,KZT,Армейский степь сутки госпожа очередной.,"РАО «Тетерин, Ильина и Казакова»",2025-11-06,7,2025-11-06 14:05:19
158,73,2025-10-06 21:25:35,debit,209188.88,KZT,Вскакивать неожиданный.,ЗАО «Голубев Тетерина»,2025-10-06,6,2025-10-06 21:25:35
159,444,2025-07-10 02:00:28,debit,499112.15,KZT,Каюта смеяться гулять цепочка.,"ОАО «Кудрявцева, Белякова и Рожкова»",2025-07-10,1,2025-07-10 02:00:28
160,1109,2025-09-19 06:52:50,credit,164106.16,KZT,Ныне секунда заложить неожиданно эпоха.,РАО «Бобылев»,2025-09-19,1,2025-09-19 06:52:50
161,1135,2025-10-10 20:35:59,credit,485352.26,KZT,Еврейский художественный.,НПО «Соколов-Артемьев»,2025-10-10,5,2025-10-10 20:35:59
162,1332,2025-08-28 14:10:58,credit,62648.13,KZT,Совещание угроза аллея.,Кузнецова и партнеры,2025-08-28,3,2025-08-28 14:10:58
163,78,2025-12-12 00:09:56,credit,25852.24,KZT,Прощение сопровождаться жидкий.,Камский кабель,2025-12-12,9,2025-12-12 00:09:56
164,112,2025-09-09 08:49:31,debit,75915.24,KZT,Слать покинуть помимо результат неудобно.,ЗАО «Евсеев-Рябова»,2025-09-09,3,2025-09-09 08:49:31
165,398,2025-10-03 13:39:46,credit,307846.9,KZT,Костер тюрьма через.,НПО «Филиппова»,2025-10-03,2,2025-10-03 13:39:46
166,1053,2025-12-20 22:40:30,credit,314679.38,KZT,Степь сынок мимо.,"ОАО «Некрасова, Гущина и Лазарева»",2025-12-20,1,2025-12-20 22:40:30
167,503,2025-12-28 02:23:50,credit,428506.45,KZT,За аж потом правильный.,Овчинников Лтд,2025-12-28,4,2025-12-28 02:23:50
168,1463,2025-11-25 18:13:41,debit,443814.17,KZT,Радость лиловый неудобно сустав.,ОАО «Мишина-Овчинников»,2025-11-25,4,2025-11-25 18:13:41
169,110,2025-11-20 23:12:43,credit,384213.15,KZT,Спичка куча тута еврейский.,"ООО «Филиппов, Цветков и Афанасьев»",2025-11-20,1,2025-11-20 23:12:43
170,449,2025-08-05 09:42:49,credit,172198.6,KZT,Выражаться сынок армейский.,"РАО «Кабанов, Петухов и Мясникова»",2025-08-05,1,2025-08-05 09:42:49
171,1209,2025-08-11 07:02:12,transfer,197981.36,KZT,Свежий низкий задрать ярко.,Ростсельмаш,2025-08-11,9,2025-08-11 07:02:12
172,1424,2025-12-03 22:17:26,credit,103082.12,KZT,Миф четыре прежде носок.,ИП «Федорова»,2025-12-03,5,2025-12-03 22:17:26
173,349,2025-07-26 23:06:58,debit,178982.71,KZT,Сомнительный вообще.,ЗАО «Кудрявцева»,2025-07-26,1,2025-07-26 23:06:58
