history_id,customer_id,segment,valid_from,valid_to,reason
246,189,mass,2025-07-31,,onboarding
247,190,premium,2024-10-02,,onboarding
248,191,premium,2023-05-02,,onboarding
249,191,mass,2023-05-02,2024-10-02,churn_risk
250,192,mass,2025-11-14,,onboarding
251,193,premium,2024-02-25,,onboarding
252,193,mass,2024-02-25,2025-12-22,vip_offer
253,194,premium,2024-08-01,,onboarding
254,195,premium,2024-03-31,,onboarding
255,196,mass,2023-07-16,,onboarding
256,196,premium,2023-07-16,2024-06-05,income_growth
257,197,premium,2023-12-01,,onboarding
258,198,mass,2023-06-11,,onboarding
259,199,wealth,2025-08-19,,onboarding
260,199,premium,2025-08-19,2026-03-31,income_growth
261,200,mass,2023-04-26,,onboarding
262,201,mass,2025-04-28,,onboarding
263,201,premium,2025-04-28,2026-04-22,churn_risk
264,202,premium,2025-02-05,,onboarding
265,203,premium,2024-09-16,,onboarding
266,204,mass,2023-11-17,,onboarding
267,205,mass,2023-04-22,,onboarding
268,205,premium,2023-04-22,2024-10-12,income_growth
269,206,mass,2025-05-28,,onboarding
270,206,mass,2025-05-28,2026-10-22,onboarding
271,207,premium,2025-04-18,,onboarding
272,207,mass,2025-04-18,2025-08-18,annual_review
273,208,mass,2025-07-11,,onboarding
274,209,mass,2025-04-05,,onboarding
275,210,mass,2025-08-15,,onboarding
276,211,premium,2025-05-07,,onboarding
277,212,mass,2024-12-10,,onboarding
278,213,premium,2025-05-28,,onboarding
279,214,mass,2024-03-26,,onboarding
280,215,wealth,2023-09-02,,onboarding
281,216,premium,2023-09-06,,onboarding
282,217,premium,2024-01-16,,onboarding
283,217,premium,2024-01-16,2025-02-04,vip_offer
284,218,mass,2025-06-20,,onboarding
285,219,mass,2023-11-18,,onboarding
286,220,premium,2023-10-18,,onboarding
287,221,mass,2024-01-02,,onboarding
288,222,premium,2025-10-03,,onboarding
289,222,mass,2025-10-03,2026-10-06,annual_review
290,223,wealth,2024-05-21,,onboarding
291,224,mass,2023-04-21,,onboarding
292,225,wealth,2025-10-14,,onboarding
293,226,mass,2023-10-25,,onboarding
294,227,premium,2024-11-18,,onboarding
295,227,mass,2024-11-18,2025-12-23,vip_offer
296,228,mass,2025-01-31,,onboarding
297,229,wealth,2023-09-19,,onboarding
298,230,mass,2024-06-03,,onboarding
299,231,mass,2024-05-19,,onboarding
300,232,wealth,2023-08-14,,onboarding
301,233,mass,2024-02-22,,onboarding
302,233,premium,2024-02-22,2024-06-07,churn_risk
303,234,premium,2024-10-03,,onboarding
304,235,mass,2024-07-12,,onboarding
305,235,mass,2024-07-12,2025-12-10,churn_risk
306,236,premium,2025-02-27,,onboarding
307,237,mass,2025-03-14,,onboarding
308,237,mass,2025-03-14,2027-05-06,income_growth
309,238,mass,2025-08-24,,onboarding
310,239,premium,2024-06-22,,onboarding
311,239,premium,2024-06-22,2025-12-21,churn_risk
312,240,mass,2024-02-02,,onboarding
313,241,premium,2024-11-20,,onboarding
314,242,premium,2024-08-18,,onboarding
315,242,premium,2024-08-18,2026-10-26,annual_review
316,243,wealth,2025-02-02,,onboarding
317,244,wealth,2025-02-05,,onboarding
318,245,wealth,2024-08-20,,onboarding
319,246,mass,2024-06-07,,onboarding
320,247,premium,2024-05-26,,onboarding
321,247,premium,2024-05-26,2026-01-05,annual_review
322,248,mass,2024-06-15,,onboarding
323,249,mass,2023-07-03,,onboarding
324,250,premium,2025-05-06,,onboarding
325,250,mass,2025-05-06,2027-06-15,vip_offer
326,251,mass,2023-10-24,,onboarding
327,252,mass,2025-01-30,,onboarding
328,253,mass,2024-08-04,,onboarding
329,253,premium,2024-08-04,2024-10-29,annual_review
330,254,mass,2024-12-21,,onboarding
331,255,premium,2023-05-04,,onboarding
332,256,mass,2024-12-10,,onboarding
333,256,mass,2024-12-10,2026-09-22,churn_risk
334,257,mass,2025-05-08,,onboarding
335,258,mass,2025-01-01,,onboarding
336,259,wealth,2024-10-29,,onboarding
337,260,wealth,2025-02-08,,onboarding
338,261,mass,2025-06-24,,onboarding
339,262,mass,2025-06-16,,onboarding
340,262,mass,2025-06-16,2026-07-02,income_growth
341,263,premium,2024-04-17,,onboarding
342,264,mass,2024-06-07,,onboarding
343,265,mass,2025-06-29,,onboarding
344,266,wealth,2024-03-21,,onboarding
345,266,premium,2024-03-21,2025-10-14,annual_review
346,267,mass,2025-02-18,,onboarding
347,268,mass,2024-09-22,,onboarding
348,269,wealth,2025-09-10,,onboarding
349,270,premium,2025-03-06,,onboarding
350,270,premium,2025-03-06,2025-07-22,annual_review
351,271,mass,2023-05-26,,onboarding
352,272,mass,2025-01-06,,onboarding
353,272,premium,2025-01-06,2025-08-04,income_growth
354,273,premium,2023-06-06,,onboarding
355,274,mass,2023-10-04,,onboarding
356,275,wealth,2024-12-15,,onboarding
357,276,mass,2023-09-11,,onboarding
358,276,mass,2023-09-11,2024-05-12,onboarding
359,277,mass,2024-03-16,,onboarding
360,278,mass,2025-07-08,,onboarding
361,278,mass,2025-07-08,2027-01-12,onboarding
362,279,wealth,2023-12-31,,onboarding
363,279,mass,2023-12-31,2025-06-18,vip_offer
364,280,wealth,2024-11-24,,onboarding
365,281,premium,2024-06-09,,onboarding
366,282,mass,2024-02-21,,onboarding
367,283,mass,2025-09-29,,onboarding
368,284,premium,2024-05-13,,onboarding
369,284,mass,2024-05-13,2024-09-08,vip_offer
370,285,premium,2024-11-10,,onboarding
371,285,premium,2024-11-10,2025-05-05,vip_offer
372,286,premium,2025-08-12,,onboarding
373,286,premium,2025-08-12,2027-05-24,annual_review
374,287,premium,2023-05-27,,onboarding
375,287,premium,2023-05-27,2024-01-21,onboarding
376,288,wealth,2024-09-03,,onboarding
377,289,wealth,2025-11-24,,onboarding
378,290,mass,2024-04-09,,onboarding
379,290,mass,2024-04-09,2024-12-16,onboarding
380,291,premium,2023-08-26,,onboarding
381,292,premium,2024-12-07,,onboarding
382,293,mass,2025-04-01,,onboarding
383,294,mass,2024-01-29,,onboarding
384,295,mass,2023-06-27,,onboarding
385,296,mass,2023-04-27,,onboarding
386,296,premium,2023-04-27,2023-12-31,churn_risk
387,297,premium,2023-10-27,,onboarding
388,297,mass,2023-10-27,2024-02-26,churn_risk
389,298,premium,2023-04-28,,onboarding
390,299,wealth,2023-04-15,,onboarding
391,300,mass,2024-08-06,,onboarding
392,301,mass,2024-08-17,,onboarding
393,302,mass,2025-10-27,,onboarding
394,303,mass,2024-01-17,,onboarding
395,304,mass,2024-01-22,,onboarding
396,305,premium,2024-04-06,,onboarding
397,305,mass,2024-04-06,2025-09-04,onboarding
398,306,mass,2024-10-11,,onboarding
399,307,premium,2025-05-09,,onboarding
400,308,premium,2023-04-07,,onboarding
401,309,mass,2024-11-04,,onboarding
402,309,mass,2024-11-04,2025-08-04,income_growth
403,310,mass,2023-12-10,,onboarding
404,311,premium,2025-07-18,,onboarding
405,312,mass,2023-11-21,,onboarding
406,312,premium,2023-11-21,2025-02-08,annual_review
407,313,mass,2024-06-04,,onboarding
408,313,mass,2024-06-04,2025-10-28,income_growth
409,314,mass,2025-01-11,,onboarding
410,315,mass,2023-04-24,,onboarding
411,316,mass,2023-07-22,,onboarding
412,317,mass,2023-11-03,,onboarding
413,317,mass,2023-11-03,2025-07-07,income_growth
414,318,mass,2025-06-25,,onboarding
415,319,mass,2024-03-08,,onboarding
416,319,premium,2024-03-08,2025-04-04,vip_offer
417,320,mass,2024-09-30,,onboarding
418,320,premium,2024-09-30,2026-08-21,annual_review
419,321,mass,2023-06-14,,onboarding
420,322,wealth,2025-08-10,,onboarding
421,323,mass,2023-08-31,,onboarding
422,323,mass,2023-08-31,2025-07-10,income_growth
423,324,mass,2025-12-01,,onboarding
424,324,mass,2025-12-01,2027-06-19,income_growth
425,325,wealth,2025-02-06,,onboarding
426,326,mass,2023-07-21,,onboarding
427,326,mass,2023-07-21,2024-10-19,income_growth
428,327,premium,2023-09-01,,onboarding
429,328,mass,2023-07-03,,onboarding
430,328,premium,2023-07-03,2023-10-31,income_growth
431,329,mass,2025-11-17,,onboarding
432,330,premium,2023-05-04,,onboarding
433,331,premium,2024-12-20,,onboarding
434,332,mass,2025-01-29,,onboarding
435,333,mass,2024-11-20,,onboarding
436,334,mass,2025-03-20,,onboarding
437,335,premium,2025-09-20,,onboarding
438,335,premium,2025-09-20,2026-11-18,income_growth
439,336,mass,2024-06-23,,onboarding
440,337,mass,2023-12-29,,onboarding
441,337,premium,2023-12-29,2024-03-21,churn_risk
442,338,mass,2025-08-21,,onboarding
443,339,mass,2024-06-27,,onboarding
444,340,mass,2025-07-13,,onboarding
445,341,mass,2025-10-23,,onboarding
446,342,mass,2024-05-19,,onboarding
447,342,premium,2024-05-19,2025-07-25,churn_risk
448,343,mass,2023-08-19,,onboarding
449,344,mass,2024-03-08,,onboarding
450,344,mass,2024-03-08,2025-11-16,onboarding
451,345,wealth,2024-11-19,,onboarding
452,346,mass,2023-09-27,,onboarding
453,347,premium,2023-12-29,,onboarding
454,348,mass,2025-12-22,,onboarding
455,349,wealth,2023-12-27,,onboarding
456,349,mass,2023-12-27,2024-08-12,income_growth
457,350,mass,2024-11-15,,onboarding
458,351,premium,2023-10-04,,onboarding
459,352,premium,2024-04-07,,onboarding
460,353,mass,2024-10-15,,onboarding
461,354,mass,2023-04-08,,onboarding
462,355,mass,2025-02-24,,onboarding
463,355,mass,2025-02-24,2026-02-05,vip_offer
464,356,mass,2023-05-27,,onboarding
465,357,mass,2025-06-26,,onboarding
466,358,mass,2023-11-24,,onboarding
467,359,mass,2023-08-26,,onboarding
468,359,mass,2023-08-26,2024-10-15,income_growth
469,360,mass,2025-02-03,,onboarding
470,360,mass,2025-02-03,2025-04-10,income_growth
471,361,premium,2023-12-08,,onboarding
472,361,mass,2023-12-08,2024-03-18,income_growth
473,362,premium,2024-07-23,,onboarding
474,363,mass,2024-06-14,,onboarding
475,364,mass,2025-02-12,,onboarding
476,365,mass,2024-02-28,,onboarding
477,366,mass,2023-08-04,,onboarding
478,367,premium,2025-06-07,,onboarding
479,367,mass,2025-06-07,2026-07-17,vip_offer
480,368,mass,2025-05-07,,onboarding
481,369,mass,2024-05-08,,onboarding
482,370,wealth,2024-02-16,,onboarding
483,371,wealth,2025-09-05,,onboarding
484,371,premium,2025-09-05,2027-06-21,annual_review
485,372,mass,2023-04-07,,onboarding
486,373,wealth,2023-09-14,,onboarding
487,374,mass,2023-10-16,,onboarding
488,374,mass,2023-10-16,2025-09-13,income_growth
489,375,mass,2025-10-29,,onboarding
490,376,premium,2024-01-13,,onboarding
491,376,mass,2024-01-13,2025-01-08,income_growth
492,377,mass,2024-07-25,,onboarding
493,378,premium,2024-09-27,,onboarding
494,378,premium,2024-09-27,2025-04-10,onboarding
495,379,premium,2025-09-14,,onboarding
496,380,premium,2023-07-22,,onboarding
497,380,mass,2023-07-22,2024-01-23,income_growth
498,381,wealth,2025-11-27,,onboarding
499,382,wealth,2023-05-16,,onboarding
500,383,premium,2023-11-12,,onboarding
501,384,wealth,2024-06-04,,onboarding
502,384,mass,2024-06-04,2025-10-31,vip_offer
503,385,mass,2025-10-05,,onboarding
504,386,premium,2025-02-19,,onboarding
505,387,premium,2023-05-03,,onboarding
506,388,mass,2023-08-17,,onboarding
507,389,mass,2024-04-27,,onboarding
508,390,mass,2023-07-09,,onboarding
509,391,mass,2024-06-09,,onboarding
510,391,mass,2024-06-09,2025-12-29,churn_risk
511,392,mass,2025-08-25,,onboarding
512,392,premium,2025-08-25,2027-02-06,vip_offer
513,393,wealth,2025-12-23,,onboarding
514,394,mass,2025-06-17,,onboarding
515,394,mass,2025-06-17,2025-08-31,churn_risk
516,395,mass,2023-07-09,,onboarding
517,395,premium,2023-07-09,2025-06-24,onboarding
518,396,premium,2024-03-29,,onboarding
519,397,mass,2024-03-30,,onboarding
520,398,mass,2025-09-23,,onboarding
521,399,premium,2024-04-30,,onboarding
522,400,premium,2024-05-12,,onboarding
523,400,mass,2024-05-12,2025-01-12,churn_risk
524,401,premium,2025-06-20,,onboarding
525,402,mass,2025-04-30,,onboarding
526,403,mass,2025-03-15,,onboarding
527,403,premium,2025-03-15,2026-01-06,churn_risk
528,404,premium,2023-09-24,,onboarding
529,404,premium,2023-09-24,2024-08-29,churn_risk
530,405,mass,2023-08-09,,onboarding
531,406,mass,2024-08-07,,onboarding
532,407,mass,2024-05-24,,onboarding
533,408,mass,2024-10-04,,onboarding
534,409,wealth,2025-06-18,,onboarding
535,409,mass,2025-06-18,2026-01-09,onboarding
536,410,mass,2025-05-12,,onboarding
537,411,premium,2025-02-21,,onboarding
538,412,mass,2024-12-05,,onboarding
539,413,wealth,2025-05-06,,onboarding
540,414,mass,2023-09-15,,onboarding
541,414,mass,2023-09-15,2025-09-19,annual_review
542,415,premium,2023-12-07,,onboarding
543,416,premium,2024-01-15,,onboarding
544,417,premium,2024-11-06,,onboarding
545,417,mass,2024-11-06,2025-07-19,income_growth
546,418,mass,2024-09-14,,onboarding
547,419,mass,2025-05-23,,onboarding
548,419,mass,2025-05-23,2026-06-26,vip_offer
549,420,premium,2025-09-28,,onboarding
550,420,mass,2025-09-28,2026-08-31,income_growth
551,421,mass,2023-05-19,,onboarding
552,422,mass,2025-09-17,,onboarding
553,422,mass,2025-09-17,2026-09-18,income_growth
554,423,mass,2024-12-04,,onboarding
555,424,premium,2025-05-01,,onboarding
556,424,premium,2025-05-01,2026-11-08,annual_review
557,425,premium,2023-10-02,,onboarding
558,426,mass,2024-10-20,,onboarding
559,426,premium,2024-10-20,2026-08-30,income_growth
560,427,mass,2023-11-13,,onboarding
561,428,mass,2023-12-29,,onboarding
562,429,premium,2025-06-15,,onboarding
563,430,mass,2025-04-07,,onboarding
564,430,mass,2025-04-07,2026-11-01,annual_review
565,431,mass,2024-08-05,,onboarding
566,431,premium,2024-08-05,2026-07-09,vip_offer
567,432,premium,2025-09-22,,onboarding
568,433,premium,2025-04-09,,onboarding
569,434,mass,2025-05-28,,onboarding
570,434,mass,2025-05-28,2025-08-03,vip_offer
571,435,premium,2023-07-20,,onboarding
572,436,premium,2025-12-27,,onboarding
573,437,mass,2024-01-01,,onboarding
574,437,premium,2024-01-01,2025-12-10,churn_risk
575,438,mass,2023-11-20,,onboarding
576,439,mass,2023-05-21,,onboarding
577,439,mass,2023-05-21,2024-03-16,income_growth
578,440,premium,2023-11-29,,onboarding
579,441,premium,2025-09-12,,onboarding
580,442,premium,2023-08-15,,onboarding
581,443,wealth,2025-12-08,,onboarding
582,443,mass,2025-12-08,2026-07-25,vip_offer
583,444,premium,2024-02-29,,onboarding
584,445,wealth,2024-12-31,,onboarding
585,446,mass,2025-03-24,,onboarding
586,446,premium,2025-03-24,2026-02-28,onboarding
587,447,wealth,2025-02-28,,onboarding
588,448,mass,2025-06-28,,onboarding
589,449,mass,2025-02-26,,onboarding
590,450,mass,2023-04-25,,onboarding
591,451,premium,2024-03-22,,onboarding
592,452,wealth,2025-01-27,,onboarding
593,453,mass,2024-01-13,,onboarding
594,454,mass,2024-02-26,,onboarding
595,455,premium,2025-02-21,,onboarding
596,456,mass,2024-08-26,,onboarding
597,457,mass,2024-02-09,,onboarding
598,458,mass,2025-05-26,,onboarding
599,459,mass,2023-07-03,,onboarding
600,459,mass,2023-07-03,2023-09-19,annual_review
601,460,mass,2025-09-10,,onboarding
602,460,premium,2025-09-10,2026-03-17,annual_review
603,461,premium,2024-10-25,,onboarding
604,462,premium,2025-11-07,,onboarding
605,463,mass,2024-01-07,,onboarding
606,464,mass,2024-01-14,,onboarding
607,465,mass,2023-06-14,,onboarding
608,466,premium,2025-05-29,,onboarding
609,467,premium,2024-07-02,,onboarding
610,468,mass,2024-04-26,,onboarding
611,469,mass,2025-06-25,,onboarding
612,470,premium,2023-05-11,,onboarding
613,471,wealth,2025-02-01,,onboarding
614,471,premium,2025-02-01,2025-04-10,onboarding
615,472,premium,2023-09-16,,onboarding
616,473,mass,2024-03-07,,onboarding
617,474,mass,2025-09-09,,onboarding
618,475,mass,2023-09-17,,onboarding
619,476,mass,2025-01-03,,onboarding
620,477,wealth,2024-10-18,,onboarding
621,478,premium,2025-02-06,,onboarding
622,479,mass,2025-08-11,,onboarding
623,480,premium,2024-12-24,,onboarding
624,481,wealth,2024-12-09,,onboarding
625,481,premium,2024-12-09,2025-08-10,onboarding
626,482,premium,2023-11-25,,onboarding
627,482,mass,2023-11-25,2024-07-08,income_growth
628,483,mass,2024-01-04,,onboarding
629,484,premium,2023-09-05,,onboarding
630,484,mass,2023-09-05,2025-07-04,onboarding
631,485,premium,2025-04-28,,onboarding
632,486,wealth,2024-11-08,,onboarding
633,487,mass,2023-11-04,,onboarding
634,488,premium,2023-04-24,,onboarding
635,489,mass,2025-10-19,,onboarding
636,490,mass,2024-12-13,,onboarding
637,491,mass,2023-07-19,,onboarding
638,491,premium,2023-07-19,2023-09-17,vip_offer
639,492,wealth,2025-09-04,,onboarding
640,493,mass,2025-04-16,,onboarding
641,494,mass,2024-08-31,,onboarding
642,495,wealth,2023-07-29,,onboarding
643,495,premium,2023-07-29,2024-12-10,income_growth
644,496,mass,2025-05-23,,onboarding
645,496,premium,2025-05-23,2026-05-09,onboarding
646,497,mass,2025-09-05,,onboarding
