transaction_id,client_id,account_id,card_id,transaction_time,amount,currency,transaction_type,merchant_name,merchant_category,city,status
88,1744,56,2225,2026-03-11 15:44:33,484251.11,EUR,cash_withdrawal,Coffee Boom,travel,Астана,success
89,974,1463,962,2025-08-12 03:27:16,309766.05,KZT,purchase,Yandex Go,travel,Усть-Каменогорск,success
90,1108,974,1327,2026-01-19 01:32:53,15644.74,KZT,purchase,Green Bazaar,supermarket,Караганда,success
91,359,1934,1490,2025-09-17 03:09:03,96220.92,EUR,deposit,Sulpak,travel,Усть-Каменогорск,success
92,384,1578,396,2025-12-06 16:52:37,468115.63,KZT,transfer,Sulpak,electronics,Актобе,success
93,1125,2115,422,2025-05-31 19:43:59,497460.04,KZT,cash_withdrawal,Sulpak,transport,Алматы,success
94,1860,1576,1070,2025-08-06 09:22:36,316255.08,KZT,deposit,Green Bazaar,restaurant,Астана,success
95,369,1916,506,2025-06-30 09:00:39,160026.57,USD,deposit,Green Bazaar,food_delivery,Тараз,declined
96,1910,2995,402,2025-06-10 07:57:12,106196.98,KZT,cash_withdrawal,Sulpak,supermarket,Астана,success
97,482,2349,1649,2026-04-14 06:55:26,473214.11,KZT,cash_withdrawal,H&M,food_delivery,Тараз,declined
98,1403,1906,1943,2025-11-04 20:41:26,300711.98,USD,deposit,Yandex Go,travel,Астана,success
99,838,1751,1793,2026-03-12 05:27:42,443901.66,USD,cash_withdrawal,Kaspi Store,transport,Шымкент,success
100,33,2168,443,2025-04-26 01:25:34,30643.85,EUR,deposit,H&M,supermarket,Алматы,success
101,463,595,348,2025-11-08 00:37:23,486701.75,EUR,transfer,KFC,travel,Шымкент,success
102,245,2055,1678,2025-09-20 00:42:38,414203.78,KZT,purchase,Ramstore,restaurant,Алматы,success
103,1360,1230,377,2026-01-20 10:27:30,225776.59,USD,purchase,Air Astana,clothing,Актобе,declined
104,153,2315,1878,2025-07-18 04:57:49,35692.72,KZT,purchase,Yandex Go,supermarket,Павлодар,success
105,1870,53,12,2025-07-21 23:50:29,3513.7,EUR,cash_withdrawal,H&M,food_delivery,Караганда,declined
106,272,1747,180,2025-09-21 06:13:05,57950.01,USD,cash_withdrawal,Coffee Boom,marketplace,Астана,success
107,1792,178,263,2025-07-18 12:10:02,490125.65,EUR,transfer,Technodom,restaurant,Павлодар,declined
108,691,1538,1365,2025-05-09 19:45:20,301222.72,EUR,purchase,Kaspi Store,food_delivery,Алматы,success
109,1166,98,1711,2025-11-30 04:40:39,461580.16,USD,purchase,Small,marketplace,Усть-Каменогорск,success
110,185,1014,2015,2025-06-08 06:24:54,129481.42,KZT,cash_withdrawal,Kaspi Store,restaurant,Алматы,success
111,1731,1445,1142,2026-03-23 01:45:51,357076.58,EUR,purchase,Coffee Boom,restaurant,Актобе,success
112,240,1183,1606,2025-08-29 08:13:59,217284.9,EUR,cash_withdrawal,Yandex Go,travel,Усть-Каменогорск,success
113,1786,495,1085,2026-02-18 09:58:54,114664.29,KZT,deposit,Zara,electronics,Астана,declined
114,906,1367,1262,2025-08-30 07:54:29,432722.05,KZT,cash_withdrawal,Kaspi Store,restaurant,Алматы,success
115,1012,1015,1074,2025-05-07 18:30:17,134449.01,KZT,cash_withdrawal,Coffee Boom,food_delivery,Павлодар,success
116,219,1423,1408,2025-08-20 02:00:56,34163.64,EUR,transfer,Kaspi Store,transport,Павлодар,success
117,596,2811,1957,2025-10-24 20:48:53,281399.72,KZT,cash_withdrawal,Sulpak,clothing,Тараз,declined
118,1189,1969,2244,2026-03-24 02:42:43,433529.05,USD,deposit,Ramstore,marketplace,Алматы,success
119,1213,1226,1220,2025-11-03 08:47:37,188194.41,USD,cash_withdrawal,Air Astana,marketplace,Караганда,success
120,1742,783,1008,2026-04-13 01:05:32,400034.77,USD,deposit,Zara,restaurant,Караганда,declined
121,1617,678,730,2026-04-16 10:25:58,341430.31,EUR,cash_withdrawal,Yandex Go,restaurant,Караганда,declined
122,999,2579,1213,2025-05-08 16:05:07,156936.8,KZT,deposit,Yandex Go,electronics,Усть-Каменогорск,success
123,1430,386,1971,2026-01-01 15:09:00,426333.4,KZT,transfer,Zara,clothing,Павлодар,success
124,416,1076,809,2025-11-11 10:42:55,55229.22,KZT,purchase,Air Astana,supermarket,Шымкент,declined
125,1802,619,996,2026-01-15 02:43:20,142662.28,KZT,transfer,KFC,restaurant,Усть-Каменогорск,success
126,1412,1991,1597,2025-06-22 09:59:50,289660.2,KZT,transfer,Yandex Go,transport,Шымкент,success
127,1421,1400,594,2025-10-06 23:07:21,229803.66,EUR,cash_withdrawal,Glovo,restaurant,Алматы,success
128,998,1600,1733,2026-01-11 07:36:37,405012.11,USD,cash_withdrawal,H&M,electronics,Усть-Каменогорск,success
129,101,1567,309,2026-02-14 21:50:26,49734.48,KZT,purchase,Yandex Go,restaurant,Актобе,success
130,22,1125,777,2025-10-06 00:27:54,27686.13,USD,purchase,Zara,restaurant,Усть-Каменогорск,success
131,612,2563,1433,2026-02-25 23:29:21,355400.15,EUR,cash_withdrawal,Yandex Go,transport,Усть-Каменогорск,success
132,739,1340,1454,2026-02-24 01:46:55,499620.96,EUR,transfer,Zara,electronics,Алматы,success
133,1785,2257,445,2025-12-18 00:41:19,302008.77,KZT,deposit,Sulpak,marketplace,Тараз,success
134,471,241,945,2025-05-29 13:00:08,114269.91,USD,deposit,Technodom,travel,Тараз,success
135,1756,644,959,2026-03-15 01:20:17,269234.11,EUR,purchase,Green Bazaar,transport,Актобе,declined
136,1865,1223,201,2025-06-03 09:42:28,24318.32,USD,transfer,Technodom,supermarket,Алматы,success
137,1578,1088,1276,2026-01-12 04:44:54,383012.7,KZT,transfer,Green Bazaar,travel,Алматы,declined
138,1736,618,794,2025-07-06 02:13:24,56895.2,USD,deposit,Yandex Go,travel,Астана,success
139,857,1780,624,2025-05-09 22:22:16,192435.48,KZT,cash_withdrawal,Glovo,supermarket,Шымкент,success
140,225,1582,2362,2025-12-09 06:40:08,332012.29,EUR,transfer,Ramstore,transport,Шымкент,success
141,652,1004,2030,2026-03-10 09:42:03,425010.39,EUR,purchase,Coffee Boom,restaurant,Шымкент,success
142,1484,222,505,2025-07-03 11:28:30,269156.3,USD,purchase,Glovo,marketplace,Шымкент,declined
143,1081,2698,1964,2025-09-16 05:10:41,178721.45,EUR,cash_withdrawal,Glovo,restaurant,Тараз,success
144,470,2644,635,2026-03-07 15:20:39,488095.39,USD,transfer,Coffee Boom,transport,Усть-Каменогорск,success
145,33,2860,2339,2025-08-26 19:30:37,236221.82,KZT,cash_withdrawal,Ramstore,restaurant,Павлодар,success
146,280,320,2137,2026-04-15 19:52:03,228792.6,KZT,transfer,Zara,electronics,Усть-Каменогорск,success
147,1348,2689,667,2026-04-11 13:46:07,213751.44,USD,cash_withdrawal,Zara,marketplace,Шымкент,success
148,1148,2495,1208,2026-03-09 01:39:58,334885.46,KZT,deposit,Ramstore,food_delivery,Шымкент,success
149,1619,1490,2249,2025-07-21 11:24:04,361509.35,EUR,cash_withdrawal,Yandex Go,travel,Астана,success
150,1400,139,2133,2025-09-28 16:08:24,85877.95,KZT,deposit,Glovo,marketplace,Астана,success
151,926,2112,52,2026-02-21 07:53:08,372931.18,USD,cash_withdrawal,Technodom,marketplace,Алматы,success
152,1130,192,1371,2025-09-17 19:06:13,329096.1,EUR,deposit,Coffee Boom,marketplace,Караганда,success
153,1206,69,2272,2025-07-31 01:42:56,58240.46,EUR,deposit,Technodom,electronics,Тараз,success
154,1941,675,1392,2025-09-15 01:50:16,315164.11,EUR,transfer,Zara,transport,Павлодар,declined
155,1881,571,1430,2026-03-10 07:42:45,333383.8,EUR,cash_withdrawal,Burger King,clothing,Павлодар,success
156,619,518,2333,2026-03-06 17:44:52,86086.15,EUR,deposit,KFC,electronics,Астана,success
157,1125,112,418,2026-01-27 10:03:19,239551.29,KZT,cash_withdrawal,Yandex Go,travel,Тараз,success
158,843,576,1116,2026-01-23 01:48:23,465808.79,USD,purchase,Green Bazaar,food_delivery,Шымкент,success
159,775,2753,175,2025-06-09 10:58:03,6382.15,USD,deposit,Yandex Go,travel,Актобе,success
160,746,630,1125,2025-05-06 03:25:34,179343.32,KZT,transfer,Ramstore,supermarket,Астана,declined
161,1421,621,846,2025-06-21 14:45:46,446582.63,USD,deposit,Coffee Boom,supermarket,Алматы,success
162,414,1111,970,2025-11-08 08:30:44,8082.73,EUR,transfer,Small,travel,Тараз,success
163,1737,1235,829,2025-06-21 03:22:28,146693.85,KZT,transfer,Magnum,food_delivery,Алматы,success
164,423,1794,178,2025-11-24 09:01:56,250535.56,EUR,cash_withdrawal,Air Astana,transport,Шымкент,success
165,1778,2284,1270,2026-02-12 18:43:47,259130.77,EUR,transfer,Glovo,food_delivery,Павлодар,success
166,1061,2766,2055,2025-12-07 17:10:45,164573.32,USD,purchase,Zara,food_delivery,Караганда,declined
167,1502,448,1395,2025-08-14 16:27:26,466676.47,USD,cash_withdrawal,KFC,supermarket,Астана,success
168,1546,930,135,2025-11-26 11:54:48,133920.87,KZT,purchase,Ramstore,electronics,Павлодар,success
169,739,1340,1454,2025-11-10 11:02:21,248948.64,KZT,cash_withdrawal,KFC,supermarket,Алматы,success
170,1112,2503,1291,2025-07-10 20:27:08,10134.31,EUR,cash_withdrawal,Ramstore,transport,Алматы,success
171,740,2052,1095,2025-08-20 03:31:01,490622.64,EUR,purchase,Yandex Go,marketplace,Актобе,success
172,1795,258,474,2026-04-11 16:12:02,225888.99,USD,cash_withdrawal,Magnum,clothing,Тараз,success
173,1305,2099,1042,2025-12-16 11:31:48,495616.23,KZT,cash_withdrawal,Green Bazaar,clothing,Алматы,success
174,1412,690,2130,2026-02-03 01:27:00,425441.24,EUR,purchase,Sulpak,marketplace,Тараз,success
175,130,101,737,2026-03-27 08:53:41,328760.19,EUR,cash_withdrawal,Magnum,supermarket,Караганда,declined
176,1699,1703,1438,2025-08-26 04:31:51,311922.62,EUR,deposit,Green Bazaar,supermarket,Павлодар,declined
177,175,1425,1740,2026-02-16 06:56:11,138283.8,KZT,deposit,Burger King,clothing,Усть-Каменогорск,success
178,1569,1753,165,2025-06-19 23:04:20,238555.17,EUR,deposit,Air Astana,clothing,Павлодар,success
179,790,1179,390,2025-11-22 17:33:23,148230.51,KZT,deposit,Burger King,transport,Тараз,success
180,1333,75,2162,2025-08-14 04:21:08,451135.19,EUR,purchase,Kaspi Store,travel,Павлодар,success
181,1690,2581,1981,2025-07-25 17:37:25,325094.73,EUR,deposit,Small,restaurant,Шымкент,success
182,619,373,2376,2025-12-13 01:14:46,35610.83,KZT,purchase,Coffee Boom,supermarket,Усть-Каменогорск,success
183,660,2162,1973,2025-06-04 02:22:29,318382.22,KZT,transfer,Air Astana,supermarket,Шымкент,success
184,41,2296,1166,2025-12-15 01:00:47,89646.6,KZT,deposit,Kaspi Store,clothing,Алматы,success
185,1889,1889,2089,2025-10-01 03:11:32,87304.88,EUR,purchase,Ramstore,clothing,Шымкент,success
186,775,2753,175,2026-03-07 22:13:32,27948.45,USD,transfer,KFC,clothing,Астана,success
187,1401,1678,699,2026-02-26 05:05:59,422955.65,USD,purchase,Green Bazaar,electronics,Алматы,success
188,493,158,727,2025-06-12 00:02:04,427148.59,EUR,purchase,KFC,clothing,Караганда,success
189,539,278,1378,2025-07-14 03:50:06,374157.91,USD,transfer,Air Astana,electronics,Алматы,success
190,1939,2467,1513,2025-11-19 13:53:12,348569.6,EUR,purchase,Kaspi Store,clothing,Астана,success
191,517,1458,932,2025-05-14 03:09:18,374023.9,USD,transfer,Glovo,food_delivery,Алматы,success
192,1182,291,1034,2025-07-31 12:17:11,365340.85,EUR,cash_withdrawal,Small,supermarket,Актобе,success
193,1365,1319,2091,2026-01-21 12:40:25,4147.73,USD,cash_withdrawal,Green Bazaar,transport,Алматы,success
194,1580,329,1483,2026-01-07 23:40:06,314000.07,EUR,deposit,Ramstore,transport,Актобе,success
195,1281,1861,590,2025-09-25 20:09:53,143029.6,USD,purchase,Burger King,restaurant,Караганда,success
196,1946,450,1023,2026-03-29 05:20:16,136657.5,EUR,purchase,Air Astana,travel,Шымкент,success
197,1139,2813,1123,2025-11-18 04:06:15,110425.92,USD,cash_withdrawal,Sulpak,electronics,Актобе,success
198,155,194,2153,2025-05-31 07:22:40,25807.57,KZT,deposit,Technodom,clothing,Караганда,success
199,1651,284,581,2025-12-19 09:10:40,421492.54,KZT,transfer,Green Bazaar,supermarket,Алматы,success
200,775,2753,175,2025-10-13 06:46:35,306710.17,USD,cash_withdrawal,Burger King,clothing,Тараз,success
201,1968,417,96,2026-02-03 15:01:50,272322.4,EUR,purchase,Yandex Go,food_delivery,Актобе,success
202,475,512,290,2026-02-01 17:18:32,45731.11,KZT,deposit,Technodom,clothing,Алматы,success
203,1074,1105,1651,2025-09-27 17:39:58,218726.29,EUR,purchase,H&M,food_delivery,Караганда,success
204,1889,1889,2089,2025-12-27 19:12:18,384697.5,KZT,cash_withdrawal,Air Astana,electronics,Усть-Каменогорск,declined
205,1635,1282,1407,2025-05-17 08:46:02,123098.12,KZT,transfer,H&M,electronics,Караганда,success
206,1925,1487,1428,2026-01-10 02:44:48,60950.66,USD,purchase,H&M,electronics,Алматы,success
207,1254,427,1084,2026-02-26 18:59:47,475917.68,USD,transfer,Small,restaurant,Павлодар,success
208,1282,2371,552,2025-07-10 01:53:07,140341.23,KZT,cash_withdrawal,Magnum,travel,Караганда,success
209,304,1369,1425,2026-02-02 03:31:49,337924.07,EUR,cash_withdrawal,KFC,electronics,Алматы,success
210,1793,1390,1511,2025-06-24 06:26:12,143160.73,EUR,purchase,Coffee Boom,transport,Актобе,declined
211,101,2685,2354,2025-08-30 19:47:42,408521.53,KZT,cash_withdrawal,Yandex Go,supermarket,Астана,success
212,1321,1843,81,2025-11-13 00:33:24,103418.74,EUR,transfer,Kaspi Store,electronics,Павлодар,success
213,1169,2239,1096,2025-11-01 07:55:10,8248.27,KZT,deposit,Glovo,marketplace,Актобе,success
214,109,2571,2147,2025-07-24 19:14:43,336369.0,EUR,cash_withdrawal,Technodom,clothing,Павлодар,success
215,1276,908,388,2025-10-24 10:12:11,331621.84,EUR,purchase,H&M,food_delivery,Караганда,success
216,773,1135,457,2025-08-19 13:41:02,320645.12,KZT,purchase,Green Bazaar,supermarket,Актобе,success
217,76,1713,1353,2025-09-30 03:41:00,236706.6,EUR,cash_withdrawal,Zara,travel,Актобе,success
218,1262,141,2041,2025-12-19 15:53:56,195497.1,EUR,cash_withdrawal,Glovo,supermarket,Актобе,success
219,937,121,407,2026-03-06 00:17:47,46552.01,EUR,transfer,Sulpak,transport,Алматы,success
220,995,1792,1766,2025-09-25 00:31:17,124427.12,KZT,transfer,H&M,clothing,Караганда,declined
221,841,1475,795,2025-09-26 09:19:27,38443.73,EUR,cash_withdrawal,Small,clothing,Тараз,declined
222,913,2397,1263,2025-12-31 16:44:13,134698.23,USD,transfer,Kaspi Store,restaurant,Актобе,success
223,656,1234,2038,2026-03-24 06:26:01,365718.95,EUR,purchase,Glovo,travel,Актобе,declined
224,321,175,99,2025-08-11 07:43:41,216480.2,USD,purchase,Ramstore,supermarket,Астана,success
225,1693,2921,2416,2025-05-23 17:27:22,100202.43,USD,purchase,H&M,transport,Усть-Каменогорск,success
226,73,1675,1622,2025-06-16 08:21:46,55475.38,USD,transfer,Kaspi Store,marketplace,Усть-Каменогорск,declined
227,287,1316,1726,2025-05-27 02:44:52,176409.27,USD,transfer,Coffee Boom,marketplace,Астана,success
228,1529,2844,1564,2025-08-01 05:56:47,393609.52,KZT,purchase,Kaspi Store,travel,Актобе,success
229,1312,2234,575,2025-11-29 03:03:52,367433.0,EUR,deposit,Burger King,restaurant,Актобе,success
230,1417,2939,1187,2026-01-02 18:35:22,245434.18,KZT,purchase,Small,restaurant,Усть-Каменогорск,success
231,489,2152,207,2026-02-22 01:39:50,440100.92,EUR,deposit,H&M,food_delivery,Актобе,success
232,491,1203,2078,2025-12-19 04:40:18,415813.21,USD,deposit,H&M,supermarket,Актобе,declined
233,409,2041,983,2026-03-12 09:45:29,315715.14,USD,transfer,Magnum,transport,Актобе,declined
234,1460,2527,2492,2025-10-07 02:49:50,466406.21,EUR,deposit,Green Bazaar,food_delivery,Астана,success
235,1253,905,1807,2025-09-20 00:53:44,23220.49,USD,purchase,Magnum,electronics,Шымкент,success
236,390,2882,90,2025-06-17 21:44:59,150170.49,KZT,purchase,Magnum,supermarket,Шымкент,success
237,1823,1508,887,2025-07-15 04:52:45,156577.24,USD,cash_withdrawal,Green Bazaar,transport,Усть-Каменогорск,success
238,561,1873,732,2025-11-27 13:25:46,62074.42,USD,transfer,Air Astana,clothing,Павлодар,success
239,1701,1461,2328,2026-01-30 01:29:16,167169.71,USD,deposit,Kaspi Store,transport,Павлодар,success
240,1233,735,1841,2025-08-05 11:08:06,396873.73,USD,cash_withdrawal,Technodom,restaurant,Тараз,success
241,1711,1050,2234,2026-02-19 22:34:46,449068.35,KZT,transfer,Air Astana,travel,Усть-Каменогорск,success
242,1966,1902,2324,2026-04-22 11:36:21,77936.59,USD,transfer,Coffee Boom,marketplace,Усть-Каменогорск,declined
243,218,1648,1831,2025-06-19 01:19:37,468576.0,EUR,deposit,Technodom,marketplace,Павлодар,success
244,1942,1927,1970,2025-08-18 19:15:21,207128.41,EUR,deposit,Sulpak,transport,Алматы,success
245,971,899,1294,2025-07-13 18:10:17,243433.84,EUR,cash_withdrawal,Zara,clothing,Караганда,success
246,204,1495,879,2025-08-19 16:51:04,404239.16,KZT,deposit,Magnum,food_delivery,Караганда,declined
247,7,2363,1889,2025-05-23 22:53:20,171364.4,KZT,deposit,Kaspi Store,clothing,Алматы,declined
248,1632,2763,1107,2025-12-10 22:38:11,22809.05,KZT,purchase,Burger King,clothing,Караганда,success
249,995,799,215,2025-08-10 12:24:10,24693.28,USD,cash_withdrawal,Yandex Go,electronics,Павлодар,success
250,1601,2713,632,2025-07-20 08:48:38,204071.42,KZT,transfer,Glovo,clothing,Караганда,success
